1,"(70, 1, 'No Experiment', 'No Experiment', 'No Experiment', 'No Experiment')"
2,"(2, 2, '00CC', '1/1/1900', 'Various seed sources from Chia-Lin that did not have seed_id', 'Tissue Collection: NULL || Inoculations: NULL || Pathogen: NULL || Notes: These seed packages do are not labeled by seed_id but by seed_name')"
3,"(70, 3, '04NC', '1/1/1900', 'NULL', 'Tissue Collection: NULL || Inoculations: NULL || Pathogen: NULL || Notes: NULL')"
4,"(2, 4, '05CN', '5/9/2005', '""2005 Chia-Lin Chung NLB trial (SEC 4.5, ROW 165-249 in Margaret Smith\'s field plot)""', 'Tissue Collection: y || Inoculations: 1 || Pathogen: EtNY000 || Notes: NULL')"
5,"(70, 5, '05FL', '1/1/1900', '2005-2006 Flordia Nursery', 'Tissue Collection: y || Inoculations: 0 || Pathogen: NULL || Notes: NULL')"
6,"(12, 4, '05RW', '1/1/1900', '2005 Randy Aurora, NY Nursery', 'Tissue Collection: y || Inoculations: 0 || Pathogen: NULL || Notes: NULL')"
7,"(2, 4, '06CN', '5/24/2006', '""2006 Chia-Lin Chung NLB trial (CC06_C, CC06_H, CC06_T, CC06_D)""', 'Tissue Collection: y || Inoculations: 1 || Pathogen: EtNY001 || Notes: NULL')"
8,"(70, 5, '06FL', '1/1/1900', '2006-2007 Flordia Nursery', 'Tissue Collection: y || Inoculations: 0 || Pathogen: NULL || Notes: NULL')"
9,"(70, 4, '06PN', '1/1/1900', 'NULL', 'Tissue Collection: NULL || Inoculations: NULL || Pathogen: NULL || Notes: NULL')"
10,"(2, 4, '07CA', '5/23/2007', '2007 Chia-Lin Chung ALB and ASR trials (CC07_C_127-246)', 'Tissue Collection: y || Inoculations: 2 || Pathogen: Gg001 || Notes: NULL')"
11,"(70, 6, '07CG', '5/8/2007', 'NULL', 'Tissue Collection: y || Inoculations: 0 || Pathogen: Natural infection || Notes: NULL')"
12,"(2, 4, '07CNa', '5/23/2007', '""2007 Chia-Lin Chung NLB trial (CC07_C_1-126, CC07_C_247-259, CC07_C_D, CC07_C_T)""', 'Tissue Collection: y || Inoculations: 1 || Pathogen: EtNY001 || Notes: NULL')"
13,"(2, 4, '07CNb', '5/29/2007', '""2007 Chia-Lin Chung NLB trial (CC07_C_C2, CC07_C_T2)""', 'Tissue Collection: y || Inoculations: 1 || Pathogen: EtNY001 || Notes: NULL')"
14,"(70, 3, '07CS', '4/24/2007', 'NULL', 'Tissue Collection: y || Inoculations: 1 || Pathogen: Cochliobolus heterosrophus race 0 (isolate 2-16Bm) || Notes: NULL')"
15,"(70, 5, '07FL', '1/1/1900', 'NULL', 'Tissue Collection: NULL || Inoculations: NULL || Pathogen: NULL || Notes: NULL')"
16,"(70, 2, '07JD', '1/1/1900', 'NULL', 'Tissue Collection: NULL || Inoculations: NULL || Pathogen: NULL || Notes: NULL')"
17,"(70, 2, '07JR', '1/1/1900', 'NULL', 'Tissue Collection: NULL || Inoculations: NULL || Pathogen: NULL || Notes: NULL')"
18,"(70, 4, '07K', '5/15/2007', '2007 NAM trial', 'Tissue Collection: y || Inoculations: 1 || Pathogen: EtNY001 || Notes: NULL')"
19,"(3, 3, '07NC', '4/24/2007', '2008 SLB trial Jesse', 'Tissue Collection: y || Inoculations: 1 || Pathogen: Cochliobolus heterosrophus race 0 (isolate 2-16Bm) || Notes: NULL')"
20,"(70, 4, '07PF', '1/1/1900', 'NULL', 'Tissue Collection: NULL || Inoculations: NULL || Pathogen: NULL || Notes: NULL')"
21,"(3, 6, '07PG', '5/8/2007', '2007 GLS trial Jesse', 'Tissue Collection: y || Inoculations: 0 || Pathogen: GLS natural infection || Notes: NULL')"
22,"(70, 2, '07PK', '1/1/1900', 'NULL', 'Tissue Collection: NULL || Inoculations: NULL || Pathogen: NULL || Notes: NULL')"
23,"(3, 4, '07PN', '5/22/2007', '2007 Jesse Nursery', 'Tissue Collection: y || Inoculations: 0 || Pathogen: NULL || Notes: NULL')"
24,"(70, 7, '08BB', '5/22/2008', '2008 NAM GLS trial', 'Tissue Collection: y || Inoculations: 0 || Pathogen: NULL || Notes: NULL')"
25,"(2, 4, '08CA', '5/23/2008', '2008 Chia-Lin Chung ASR trial', 'Tissue Collection: y || Inoculations: 2 || Pathogen: Gg001 || Notes: NULL')"
26,"(2, 4, '08CF', '5/23/2008', '""2008 Chia-Lin Chung fine-mapping for qEt1.06, 6.05 and 8.06""', 'Tissue Collection: y || Inoculations: 1 || Pathogen: EtNY001 || Notes: NULL')"
27,"(2, 7, '08CG', '5/22/2008', '2008 Chia-Lin Chung GLS trial', 'Tissue Collection: y || Inoculations: 0 || Pathogen: Natural infection || Notes: NULL')"
