08SB0101,NULL,08SB,P39,NULL,NULL,07FL430,1,1,1,NULL,10,inbreds,NULL,NULL,NAM parent,8
08SB0102,NULL,08SB,IBM262,NULL,NULL,JP266#2,1,1,1,NULL,10,inbreds,NULL,sib/self,NULL,8
08SB0103,NULL,08SB,IBM54,NULL,NULL,JK06-M1-356,1,2,1,NULL,10,inbreds,NULL,sib/self,NULL,8
08SB0104,NULL,08SB,Mo17,NULL,NULL,07FL434,1,2,1,NULL,10,inbreds,NULL,NULL,NAM parent,8
08SB0105,NULL,08SB,Il14H,NULL,NULL,07FL437,1,3,1,NULL,10,inbreds,NULL,NULL,NAM parent,8
08SB0106,NULL,08SB,MS71,NULL,NULL,07FL438,1,3,1,NULL,10,inbreds,NULL,NULL,NAM parent,8
08SB0107,NULL,08SB,B73,NULL,NULL,07FL441,1,4,1,NULL,10,inbreds,NULL,NULL,NAM parent,8
08SB0108,NULL,08SB,B97,NULL,NULL,07FL442,1,4,1,NULL,10,inbreds,NULL,NULL,NAM parent,8
08SB0109,NULL,08SB,P445-58-6-4-BBB,NULL,NULL,JK06-M1-46.3,1,5,1,NULL,10,inbreds,NULL,sib/self,NULL,8
08SB0110,NULL,08SB,M37W,NULL,NULL,07FL469,1,5,1,NULL,10,inbreds,NULL,NULL,NAM parent,8
08SB0111,NULL,08SB,Mp717,NULL,NULL,W. Paul Williams,1,6,1,NULL,10,inbreds,NULL,NULL,resistant,8
08SB0112,NULL,08SB,NC358,NULL,NULL,07FL471,1,6,1,NULL,10,inbreds,NULL,NULL,NAM parent,8
08SB0113,NULL,08SB,Oh7B,NULL,NULL,07FL472,1,7,1,NULL,10,inbreds,NULL,NULL,NAM parent,8
08SB0114,NULL,08SB,Mp313E,NULL,NULL,NCRPIS PI539859,1,7,1,NULL,10,inbreds,NULL,NULL,Resistant Williams et al,8
08SB0115,NULL,08SB,Ky21,NULL,NULL,07FL477,1,8,1,NULL,10,inbreds,NULL,NULL,NAM parent,8
08SB0116,NULL,08SB,CML103,NULL,NULL,07FL483,1,8,1,NULL,10,inbreds,NULL,NULL,NAM parent,8
08SB0117,NULL,08SB,CML322,NULL,NULL,05FL432,1,9,1,NULL,10,inbreds,NULL,sib/self,NAM parent,8
08SB0118,NULL,08SB,Tx303,NULL,NULL,07FL495,1,9,1,NULL,10,inbreds,NULL,NULL,NAM parent,8
08SB0119,NULL,08SB,Mp339,NULL,NULL,NCRPIS PI543916,1,10,1,NULL,10,inbreds,NULL,NULL,Susceptible check. EB diversity panel,8
08SB0120,NULL,08SB,Mp715,NULL,NULL,NCRPIS,1,10,1,NULL,10,inbreds,NULL,sib/self,resistant,8
08SB0121,NULL,08SB,Sc212m,NULL,NULL,NCRPIS,1,11,1,NULL,10,inbreds,NULL,sib/self,susceptible,8
08SB0122,NULL,08SB,NC408,NULL,NULL,NCRPIS,1,11,1,NULL,10,inbreds,NULL,sib/self,resistant,8
