09PM0001,09K2683,09PM,NULL,Z019E0027,NULL,07A2380,19,1,1,1,16,19,NULL,Trial,NULL,0
09PM0002,09K2684,09PM,NULL,Z019E0078,NULL,07A2868,19,2,1,1,16,19,NULL,Trial,NULL,0
09PM0003,09K2685,09PM,NULL,Z019E0122,NULL,07A2675,19,3,1,1,16,19,NULL,Trial,NULL,0
09PM0004,09K2686,09PM,NULL,Z019E0137,NULL,07A2574,19,4,1,1,16,19,NULL,Trial,NULL,0
09PM0005,09K2687,09PM,NULL,Z019E0109,NULL,07A0251,19,5,1,1,16,19,NULL,Trial,NULL,0
09PM0006,09K2688,09PM,NULL,Z019E0155,NULL,07A2584,19,6,1,1,16,19,NULL,Trial,NULL,0
09PM0007,09K2689,09PM,NULL,Z019E0038,NULL,07A0236,19,7,1,1,16,19,NULL,Trial,NULL,0
09PM0008,09K2690,09PM,NULL,Z019E0201,NULL,08PN0308_000b,19,8,1,1,16,19,NULL,CheckB,NULL,0
09PM0009,09K2691,09PM,NULL,Z019E0037,NULL,07A0607,19,9,1,1,16,19,NULL,Trial,NULL,0
09PM0010,09K2692,09PM,NULL,Z019E0063,NULL,07A2651,19,10,1,1,16,19,NULL,Trial,NULL,0
09PM0011,09K2693,09PM,NULL,Z019E0052,NULL,07A0380,19,11,1,1,16,19,NULL,Trial,NULL,0
09PM0012,09K2694,09PM,NULL,Z019E0185,NULL,07A2758,19,12,1,1,16,19,NULL,Trial,NULL,0
09PM0013,09K2695,09PM,NULL,Z019E0066,NULL,06A1351,19,13,1,1,16,19,NULL,Trial,NULL,0
09PM0014,09K2696,09PM,NULL,Z019E0065,NULL,07A2679,19,14,1,1,16,19,NULL,Trial,NULL,0
09PM0015,09K2697,09PM,NULL,Z019E0082,NULL,07A2743,19,15,1,1,16,19,NULL,Trial,NULL,0
09PM0016,09K2698,09PM,NULL,Z019E0047,NULL,07A0703,19,16,1,1,16,19,NULL,Trial,NULL,0
09PM0017,09K2699,09PM,NULL,Z019E0076,NULL,07A0257,19,17,1,1,16,19,NULL,Trial,NULL,0
09PM0018,09K2700,09PM,NULL,Z019E0199,NULL,07A2324,19,18,1,1,16,19,NULL,Trial,NULL,0
09PM0019,09K2701,09PM,NULL,Z019E0202,NULL,08PN0022_000b,19,19,1,1,16,19,NULL,Check,NULL,0
09PM0020,09K2702,09PM,NULL,Z019E0039,NULL,07A0477,19,20,1,1,16,19,NULL,Trial,NULL,0
09PM0021,09K2703,09PM,NULL,Z019E0095,NULL,06A1313,19,21,1,1,16,19,NULL,Trial,NULL,0
09PM0022,09K2704,09PM,NULL,Z019E0100,NULL,07A0363,19,22,2,1,16,19,NULL,Trial,NULL,0
09PM0023,09K2705,09PM,NULL,Z019E0009,NULL,07A2278,19,23,2,1,16,19,NULL,Trial,NULL,0
09PM0024,09K2706,09PM,NULL,Z019E0172,NULL,07A0247,19,24,2,1,16,19,NULL,Trial,NULL,0
09PM0025,09K2707,09PM,NULL,Z019E0088,NULL,07A0550,19,25,2,1,16,19,NULL,Trial,NULL,0
09PM0026,09K2708,09PM,NULL,Z019E0148,NULL,07A2408,19,26,2,1,16,19,NULL,Trial,NULL,0
09PM0027,09K2709,09PM,NULL,Z019E0083,NULL,07A2295,19,27,2,1,16,19,NULL,Trial,NULL,0
