07JD1005_001b,07JD1005_001,07JD1005,07JD,NULL,JK07-D1-005,JK07-D1-005,sib/self,NULL,NULL,source: 04ncai01,CO125,NULL,1,NULL,07 Diversity Panel Seed Increase,Ames 27106,04ncai01
07JD1005_002b,07JD1005_002,07JD1005,07JD,NULL,JK07-D1-005,JK07-D1-005,sib/self,NULL,NULL,source: 04ncai01,CO125,NULL,1,NULL,07 Diversity Panel Seed Increase,Ames 27106,04ncai01
07JD1012_001b,07JD1012_001,07JD1012,07JD,NULL,JK07-D1-012,JK07-D1-012,sib/self,NULL,NULL,source: 06ncai01,P39 Goodman-Buckler,NULL,1,NULL,07 Diversity Panel Seed Increase,Ames 28186,06ncai01
07JD1020_001b,07JD1020_001,07JD1020,07JD,NULL,JK07-D1-020,JK07-D1-020,sib/self,NULL,NULL,source: 04ncai01,Mo47,NULL,1,NULL,07 Diversity Panel Seed Increase,PI 583352,04ncai01
07JD1020_002b,07JD1020_002,07JD1020,07JD,NULL,JK07-D1-020,JK07-D1-020,sib/self,NULL,NULL,source: 04ncai01,Mo47,NULL,1,NULL,07 Diversity Panel Seed Increase,PI 583352,04ncai01
07JD1020_003b,07JD1020_003,07JD1020,07JD,NULL,JK07-D1-020,JK07-D1-020,sib/self,NULL,NULL,source: 04ncai01,Mo47,NULL,1,NULL,07 Diversity Panel Seed Increase,PI 583352,04ncai01
07JD1020_004b,07JD1020_004,07JD1020,07JD,NULL,JK07-D1-020,JK07-D1-020,sib/self,NULL,NULL,source: 04ncai01,Mo47,NULL,1,NULL,07 Diversity Panel Seed Increase,PI 583352,04ncai01
07JD1021_001b,07JD1021_001,07JD1021,07JD,NULL,JK07-D1-021,JK07-D1-021,sib/self,NULL,NULL,source: 06ncai01,W153R,NULL,1,NULL,07 Diversity Panel Seed Increase,PI 587154,06ncai01
07JD1021_002b,07JD1021_002,07JD1021,07JD,NULL,JK07-D1-021,JK07-D1-021,sib/self,NULL,NULL,source: 06ncai01,W153R,NULL,1,NULL,07 Diversity Panel Seed Increase,PI 587154,06ncai01
07JD1021_003b,07JD1021_003,07JD1021,07JD,NULL,JK07-D1-021,JK07-D1-021,sib/self,NULL,NULL,source: 06ncai01,W153R,NULL,1,NULL,07 Diversity Panel Seed Increase,PI 587154,06ncai01
07JD1024_001b,07JD1024_001,07JD1024,07JD,NULL,JK07-D1-024,JK07-D1-024,sib/self,NULL,NULL,source: 06ncai01,M37W,NULL,1,NULL,07 Diversity Panel Seed Increase,Ames 27133,06ncai01
07JD1027_001b,07JD1027_001,07JD1027,07JD,NULL,JK07-D1-027,JK07-D1-027,sib/self,NULL,NULL,source: 02ncai01,F2,NULL,1,NULL,07 Diversity Panel Seed Increase,PI 257506,02ncai01
07JD1027_002b,07JD1027_002,07JD1027,07JD,NULL,JK07-D1-027,JK07-D1-027,sib/self,NULL,NULL,source: 02ncai01,F2,NULL,1,NULL,07 Diversity Panel Seed Increase,PI 257506,02ncai01
07JD1027_003b,07JD1027_003,07JD1027,07JD,NULL,JK07-D1-027,JK07-D1-027,sib/self,NULL,NULL,source: 02ncai01,F2,NULL,1,NULL,07 Diversity Panel Seed Increase,PI 257506,02ncai01
07JD1034_001b,07JD1034_001,07JD1034,07JD,NULL,JK07-D1-034,JK07-D1-034,sib/self,NULL,NULL,source: 04ncai01,Va14,NULL,1,NULL,07 Diversity Panel Seed Increase,Ames 27192,04ncai01
07JD1036_001b,07JD1036_001,07JD1036,07JD,NULL,JK07-D1-036,JK07-D1-036,sib/self,NULL,NULL,source: 04ncai01,W117HT,NULL,1,NULL,07 Diversity Panel Seed Increase,Ames 8399,04ncai01
07JD1036_002b,07JD1036_002,07JD1036,07JD,NULL,JK07-D1-036,JK07-D1-036,sib/self,NULL,NULL,source: 04ncai01,W117HT,NULL,1,NULL,07 Diversity Panel Seed Increase,Ames 8399,04ncai01
07JD1036_003b,07JD1036_003,07JD1036,07JD,NULL,JK07-D1-036,JK07-D1-036,sib/self,NULL,NULL,source: 04ncai01,W117HT,NULL,1,NULL,07 Diversity Panel Seed Increase,Ames 8399,04ncai01
07JD1046_001b,07JD1046_001,07JD1046,07JD,NULL,JK07-D1-046,JK07-D1-046,sib/self,NULL,NULL,source: 04ncai01,CML 157Q,NULL,1,NULL,07 Diversity Panel Seed Increase,Ames 27084,04ncai01
07JD1046_002b,07JD1046_002,07JD1046,07JD,NULL,JK07-D1-046,JK07-D1-046,sib/self,NULL,NULL,source: 04ncai01,CML 157Q,NULL,1,NULL,07 Diversity Panel Seed Increase,Ames 27084,04ncai01
07JD1046_003b,07JD1046_003,07JD1046,07JD,NULL,JK07-D1-046,JK07-D1-046,sib/self,NULL,NULL,source: 04ncai01,CML 157Q,NULL,1,NULL,07 Diversity Panel Seed Increase,Ames 27084,04ncai01
07JD1052_001b,07JD1052_001,07JD1052,07JD,NULL,JK07-D1-052,JK07-D1-052,sib/self,NULL,NULL,source: 05ncei01,CML 158Q,NULL,1,NULL,07 Diversity Panel Seed Increase,Ames 27085,05ncei01
07JD1052_002b,07JD1052_002,07JD1052,07JD,NULL,JK07-D1-052,JK07-D1-052,sib/self,NULL,NULL,source: 05ncei01,CML 158Q,NULL,1,NULL,07 Diversity Panel Seed Increase,Ames 27085,05ncei01
07JD1052_003b,07JD1052_003,07JD1052,07JD,NULL,JK07-D1-052,JK07-D1-052,sib/self,NULL,NULL,source: 05ncei01,CML 158Q,NULL,1,NULL,07 Diversity Panel Seed Increase,Ames 27085,05ncei01
07JD1054_001b,07JD1054_001,07JD1054,07JD,NULL,JK07-D1-054,JK07-D1-054,sib/self,NULL,NULL,source: 04ncai01,NC230,NULL,1,NULL,07 Diversity Panel Seed Increase,Ames 12731,04ncai01
07JD1054_002b,07JD1054_002,07JD1054,07JD,NULL,JK07-D1-054,JK07-D1-054,sib/self,NULL,NULL,source: 04ncai01,NC230,NULL,1,NULL,07 Diversity Panel Seed Increase,Ames 12731,04ncai01
07JD1055_001b,07JD1055_001,07JD1055,07JD,NULL,JK07-D1-055,JK07-D1-055,sib/self,NULL,NULL,source: 04ncai01,CML 154Q,NULL,1,NULL,07 Diversity Panel Seed Increase,Ames 27083,04ncai01
07JD1055_002b,07JD1055_002,07JD1055,07JD,NULL,JK07-D1-055,JK07-D1-055,sib/self,NULL,NULL,source: 04ncai01,CML 154Q,NULL,1,NULL,07 Diversity Panel Seed Increase,Ames 27083,04ncai01
07JD1055_003b,07JD1055_003,07JD1055,07JD,NULL,JK07-D1-055,JK07-D1-055,sib/self,NULL,NULL,source: 04ncai01,CML 154Q,NULL,1,NULL,07 Diversity Panel Seed Increase,Ames 27083,04ncai01
