1,4,NULL,Inoculation,7/18/2005 0:00,No Comments
2,7,NULL,Inoculation,7/10/2006 0:00,No Comments
3,10,NULL,Inoculation,7/3/2007 0:00,No Comments
4,10,NULL,Inoculation,8/27/2007 0:00,No Comments
5,12,NULL,Inoculation,7/3/2007 0:00,No Comments
6,13,NULL,Inoculation,7/27/2007 0:00,No Comments
7,14,NULL,Inoculation,5/31/2007 0:00,No Comments
8,18,NULL,Inoculation,7/2/2007 0:00,No Comments
9,19,NULL,Inoculation,5/31/2007 0:00,No Comments
10,25,NULL,Inoculation,8/14/2008 0:00,No Comments
11,25,NULL,Inoculation,8/22/2008 0:00,No Comments
12,26,NULL,Inoculation,6/28/2008 0:00,No Comments
13,28,NULL,Inoculation,6/28/2008 0:00,No Comments
14,29,NULL,Inoculation,6/30/2008 0:00,No Comments
15,30,NULL,Inoculation,6/9/2008 0:00,No Comments
16,31,NULL,Inoculation,8/16/2008 0:00,No Comments
17,31,NULL,Inoculation,8/21/2008 0:00,No Comments
18,34,NULL,Inoculation,5/29/2008 0:00,No Comments
19,34,NULL,Inoculation,5/30/2008 0:00,No Comments
20,35,NULL,Inoculation,9/25/2008 0:00,No Comments
21,38,NULL,Inoculation,6/26/2008 0:00,No Comments
22,39,NULL,Inoculation,6/9/2008 0:00,No Comments
23,40,NULL,Inoculation,6/26/2008 0:00,No Comments
24,43,NULL,Inoculation,7/8/2008 0:00,No Comments
25,43,NULL,Inoculation,7/16/2008 0:00,No Comments
26,44,NULL,Inoculation,6/27/2008 0:00,No Comments
27,45,NULL,Inoculation,6/26/2008 0:00,No Comments
28,53,NULL,Inoculation,6/25/2009 0:00,No Comments
29,54,NULL,Inoculation,6/25/2009 0:00,No Comments
30,55,NULL,Inoculation,6/25/2009 0:00,No Comments
31,56,NULL,Inoculation,6/19/2009 0:00,No Comments
32,57,NULL,Inoculation,6/16/2009 0:00,No Comments
33,62,NULL,Inoculation,6/19/2009 0:00,No Comments
34,62,NULL,Inoculation,7/7/2009 0:00,No Comments
35,63,NULL,Inoculation,6/12/2009 0:00,No Comments
36,65,NULL,Inoculation,6/19/2009 0:00,No Comments
37,65,NULL,Inoculation,6/24/2009 0:00,No Comments
38,66,NULL,Inoculation,6/19/2009 0:00,No Comments
39,66,NULL,Inoculation,6/24/2009 0:00,No Comments
40,67,NULL,Inoculation,7/3/2009 0:00,No Comments
41,69,NULL,Inoculation,7/16/2009 0:00,No Comments
42,69,NULL,Inoculation,7/21/2009 0:00,No Comments
43,70,NULL,Inoculation,6/19/2009 0:00,No Comments
44,70,NULL,Inoculation,6/24/2009 0:00,No Comments
45,71,NULL,Inoculation,7/16/2009 0:00,No Comments
46,71,NULL,Inoculation,7/21/2009 0:00,No Comments
47,78,NULL,Inoculation,6/25/2009 0:00,No Comments
48,81,NULL,Inoculation,6/9/2009 0:00,No Comments
49,89,NULL,Inoculation,7/9/2010 0:00,No Comments
50,91,NULL,Inoculation,5/18/2010 0:00,No Comments
51,91,NULL,Inoculation,6/28/2010 0:00,No Comments
52,93,NULL,Inoculation,7/16/2010 0:00,No Comments
53,99,NULL,Inoculation,8/10/2010 0:00,No Comments
54,103,NULL,Inoculation,7/9/2010 0:00,No Comments
55,108,NULL,Inoculation,7/9/2010 0:00,No Comments
56,109,NULL,Inoculation,6/28/2010 0:00,No Comments
57,109,NULL,Inoculation,6/29/2010 0:00,No Comments
58,110,NULL,Inoculation,7/1/2010 0:00,No Comments
59,112,NULL,Inoculation,6/28/2010 0:00,No Comments
60,125,NULL,Inoculation,7/8/2011 0:00,No Comments
61,126,NULL,Inoculation,7/15/2011 0:00,No Comments
62,127,NULL,Inoculation,6/12/2011 0:00,No Comments
63,129,NULL,Inoculation,7/7/2012 0:00,No Comments
64,129,NULL,Inoculation,7/14/2012 0:00,No Comments
65,131,NULL,Inoculation,8/16/2012 0:00,No Comments
66,131,NULL,Inoculation,8/23/2012 0:00,No Comments
67,132,NULL,Inoculation,7/7/2012 0:00,No Comments
68,132,NULL,Inoculation,7/14/2012 0:00,No Comments
69,133,NULL,Inoculation,6/28/2012 0:00,No Comments
70,136,NULL,Inoculation,6/28/2012 0:00,No Comments
71,138,NULL,Inoculation,6/28/2012 0:00,No Comments
72,139,NULL,Inoculation,6/28/2012 0:00,No Comments
73,140,NULL,Inoculation,7/23/2012 0:00,No Comments
74,141,NULL,Inoculation,7/9/2012 0:00,No Comments
75,141,NULL,Inoculation,7/15/2012 0:00,No Comments
76,142,NULL,Inoculation,6/28/2012 0:00,No Comments
77,145,NULL,Inoculation,7/20/2013 0:00,No Comments
78,146,NULL,Inoculation,7/18/2013 0:00,No Comments
