07K0001,NULL,07K,(B73؃ML322)S5,Z006E0004,NULL,06A0187,1,1,1,NULL,NULL,6,NULL,Trial,range:1 plot:1 orientation:N;,3
07K0002,NULL,07K,B73,Z006E0201,NULL,M.Smith 06'Bulk,2,1,1,NULL,NULL,6,NULL,Inbred Check,range:1 plot:1 orientation:S;,3
07K0003,NULL,07K,(B73؃ML322)S5,Z006E0028,NULL,06A0207,2,2,1,NULL,NULL,6,NULL,Trial,range:1 plot:2 orientation:S;,3
07K0004,NULL,07K,(B73؃ML322)S5,Z006E0056,NULL,06A0110,1,2,1,NULL,NULL,6,NULL,Trial,range:1 plot:2 orientation:N;,3
07K0005,NULL,07K,(B73؃ML322)S5,Z006E0022,NULL,06A0082,1,3,1,NULL,NULL,6,NULL,Trial,range:1 plot:3 orientation:N;,3
07K0006,NULL,07K,(B73؃ML322)S5,Z006E0185,NULL,06A0056,2,3,1,NULL,NULL,6,NULL,Trial,range:1 plot:3 orientation:S;,3
07K0007,NULL,07K,(B73؃ML322)S5,Z006E0151,NULL,06A0097,2,4,1,NULL,NULL,6,NULL,Trial,range:1 plot:4 orientation:S;,3
07K0008,NULL,07K,(B73؃ML322)S5,Z006E0094,NULL,06A0206,1,4,1,NULL,NULL,6,NULL,Trial,range:1 plot:4 orientation:N;,3
07K0009,NULL,07K,(B73؃ML322)S5,Z006E0077,NULL,06A0048,1,5,1,NULL,NULL,6,NULL,Trial,range:1 plot:5 orientation:N;,3
07K0010,NULL,07K,(B73؃ML322)S5,Z006E0166,NULL,06A0045,2,5,1,NULL,NULL,6,NULL,Trial,range:1 plot:5 orientation:S;,3
07K0011,NULL,07K,(B73؃ML322)S5,Z006E0128,NULL,06A0175,2,6,1,NULL,NULL,6,NULL,Trial,range:1 plot:6 orientation:S;,3
07K0012,NULL,07K,(B73؃ML322)S5,Z006E0149,NULL,06A0200,1,6,1,NULL,NULL,6,NULL,Trial,range:1 plot:6 orientation:N;,3
07K0013,NULL,07K,(B73؃ML322)S5,Z006E0157,NULL,06A0062,1,7,1,NULL,NULL,6,NULL,Trial,range:1 plot:7 orientation:N;,3
07K0014,NULL,07K,(B73؃ML322)S5,Z006E0147,NULL,06A0085,2,7,1,NULL,NULL,6,NULL,Trial,range:1 plot:7 orientation:S;,3
07K0015,NULL,07K,(B73؃ML322)S5,Z006E0027,NULL,06A0172,2,8,1,NULL,NULL,6,NULL,Trial,range:1 plot:8 orientation:S;,3
07K0016,NULL,07K,(B73؃ML322)S5,Z006E0175,NULL,06A0001,1,8,1,NULL,NULL,6,NULL,Trial,range:1 plot:8 orientation:N;,3
07K0017,NULL,07K,(B73؃ML322)S5,Z006E0058,NULL,06A0094,1,9,1,NULL,NULL,6,NULL,Trial,range:1 plot:9 orientation:N;,3
07K0018,NULL,07K,CML322,Z006E0202,NULL,04ncai01 - Ames27096,2,9,1,NULL,NULL,6,NULL,Inbred Check,range:1 plot:9 orientation:S;,3
07K0019,NULL,07K,(B73؃ML322)S5,Z006E0019,NULL,06A0044,2,10,1,NULL,NULL,6,NULL,Trial,range:1 plot:10 orientation:S;,3
