10CH0001,NULL,10CH,(Z006E0003)S2,NULL,09PR0552_002s,NULL,NULL,NULL,NULL,NULL,20,Santiago HIFs,NULL,seed increase,sib 3,8
10CH0002,NULL,10CH,(Z006E0003)S2,NULL,09PR0552_004s,NULL,NULL,NULL,NULL,NULL,20,Santiago HIFs,NULL,seed increase,sib 3,8
10CH0003,NULL,10CH,(Z006E0003)S2,NULL,09PR0552_006s,NULL,NULL,NULL,NULL,NULL,20,Santiago HIFs,NULL,seed increase,sib 3,8
10CH0004,NULL,10CH,(Z006E0003)S2,NULL,09PR0554_006s,NULL,NULL,NULL,NULL,NULL,20,Santiago HIFs,NULL,seed increase,sib 3,8
10CH0005,NULL,10CH,(Z006E0003)S2,NULL,09PR0554_008s,NULL,NULL,NULL,NULL,NULL,20,Santiago HIFs,NULL,seed increase,sib 3,8
10CH0006,NULL,10CH,(Z006E0014)S2,NULL,09PR0558_003s,NULL,NULL,NULL,NULL,NULL,20,Santiago HIFs,NULL,seed increase,sib 3,8
10CH0007,NULL,10CH,(Z006E0014)S2,NULL,09PR0558_005s,NULL,NULL,NULL,NULL,NULL,20,Santiago HIFs,NULL,seed increase,sib 3,8
10CH0008,NULL,10CH,(Z006E0014)S2,NULL,09PR0560_001s,NULL,NULL,NULL,NULL,NULL,20,Santiago HIFs,NULL,seed increase,sib 3,8
10CH0009,NULL,10CH,(Z006E0014)S2,NULL,09PR0560_003s,NULL,NULL,NULL,NULL,NULL,20,Santiago HIFs,NULL,seed increase,sib 3,8
10CH0010,NULL,10CH,(Z006E0031)S2,NULL,09PR0563_004s,NULL,NULL,NULL,NULL,NULL,20,Santiago HIFs,NULL,seed increase,sib 3,8
10CH0011,NULL,10CH,(Z006E0031)S2,NULL,09PR0563_006s,NULL,NULL,NULL,NULL,NULL,20,Santiago HIFs,NULL,seed increase,sib 3,8
10CH0012,NULL,10CH,(Z006E0033)S2,NULL,09PR0566_002s,NULL,NULL,NULL,NULL,NULL,20,Santiago HIFs,NULL,seed increase,sib 3,8
10CH0013,NULL,10CH,(Z006E0033)S2,NULL,09PR0566_005s,NULL,NULL,NULL,NULL,NULL,20,Santiago HIFs,NULL,seed increase,sib 3,8
10CH0014,NULL,10CH,(Z006E0033)S2,NULL,09PR0566_007s,NULL,NULL,NULL,NULL,NULL,20,Santiago HIFs,NULL,seed increase,sib 3,8
10CH0015,NULL,10CH,(Z006E0033)S2,NULL,09PR0569_004s,NULL,NULL,NULL,NULL,NULL,20,Santiago HIFs,NULL,seed increase,sib 3,8
10CH0016,NULL,10CH,(Z006E0033)S2,NULL,09PR0569_005s,NULL,NULL,NULL,NULL,NULL,20,Santiago HIFs,NULL,seed increase,sib 3,8
10CH0017,NULL,10CH,(Z006E0033)S2,NULL,09PR0569_006s,NULL,NULL,NULL,NULL,NULL,20,Santiago HIFs,NULL,seed increase,sib 3,8
10CH0018,NULL,10CH,(Z006E0033)S2,NULL,09PR0569_007s,NULL,NULL,NULL,NULL,NULL,20,Santiago HIFs,NULL,seed increase,sib 3,8
10CH0019,NULL,10CH,(Z006E0054)S2,NULL,09PR0571_004s,NULL,NULL,NULL,NULL,NULL,20,Santiago HIFs,NULL,seed increase,sib 3,8
10CH0020,NULL,10CH,(Z006E0054)S2,NULL,09PR0571_005s,NULL,NULL,NULL,NULL,NULL,20,Santiago HIFs,NULL,seed increase,sib 3,8
10CH0021,NULL,10CH,(Z006E0054)S2,NULL,09PR0572_001s,NULL,NULL,NULL,NULL,NULL,20,Santiago HIFs,NULL,seed increase,sib 3,8
